,from,to,distance
113,National Energy,Intersalonica,2.0000400572819172
114,Public,Diana Shipping,1.4578279163249714
115,Public,HOWDEN,2.23609090773802
116,Public,Interamerican,2.23609090773802
117,Public,IT CAFE,1.73283051401169
118,Public,Mc Donald's,2.236488589047768
119,Public,National Energy,2.23609090773802
120,Public,Qualco,1.7325438406430125
121,Public,Socialdoo,1.4149475574345565
122,Public,Optima Bank AE,1.422401948577397
123,Public,Motodynamics,1.427658721674345
124,Public,PEPSICO,1.0576129277534052
125,Public,ΥΠΕΡΤΑΜΕΙΟ ,1.7320804102779532
126,Public,PWC ,2.0490320364729655
127,Public,DELOITTE,2.214974311392388
128,Public,Johnson & Johnson,2.0002307189466384
129,Public,Nespresso,1.7328989387075504
130,Public,STOP,2.0001297826822397
131,Public,Everest,2.8288361090338467
132,Public,Intersalonica,2.6458494189149357
133,Qualco,Diana Shipping,1.774899056281902
134,Qualco,HOWDEN,2.4497232797955983
135,Qualco,Interamerican,2.000286016441775
136,Qualco,IT CAFE,2.4495224495260817
137,Qualco,Mc Donald's,2.4494910510612793
138,Qualco,National Energy,2.4497232797955983
139,Qualco,Public,1.7325438406430125
140,Qualco,Socialdoo,1.7322774693253544
141,Qualco,Optima Bank AE,1.742115721974807
142,Qualco,Motodynamics,1.7426703646989583
143,Qualco,PEPSICO,1.463870315113753
144,Qualco,ΥΠΕΡΤΑΜΕΙΟ ,1.4146180217898061
145,Qualco,PWC ,1.7971001862652074
146,Qualco,DELOITTE,1.992605326054059
147,Qualco,Johnson & Johnson,1.7322330701234434
148,Qualco,Nespresso,2.44953684035461
149,Qualco,STOP,2.645888801077748
150,Qualco,Everest,2.9917980767850034
151,Qualco,Intersalonica,2.4496382483274224
152,Socialdoo,Diana Shipping,1.469556121105292
153,Socialdoo,HOWDEN,2.2363488567173224
154,Socialdoo,Interamerican,2.2363488567173224
155,Socialdoo,IT CAFE,2.2362077273813363
156,Socialdoo,Mc Donald's,2.645888801077748
157,Socialdoo,National Energy,2.2363488567173224
158,Socialdoo,Public,1.4149475574345565
159,Socialdoo,Qualco,1.7322774693253544
160,Socialdoo,Optima Bank AE,1.4280034927563965
161,Socialdoo,Motodynamics,2.0120196831581443
162,Socialdoo,PEPSICO,1.7753876426983088
163,Socialdoo,ΥΠΕΡΤΑΜΕΙΟ ,1.7324134058996643
164,Socialdoo,PWC ,2.0594217036743916
165,Socialdoo,DELOITTE,2.2349369382803737
166,Socialdoo,Johnson & Johnson,2.0000576822318017
167,Socialdoo,Nespresso,2.236209160438551
168,Socialdoo,STOP,2.449595711045499
169,Socialdoo,Everest,3.162278673556347
170,Socialdoo,Intersalonica,2.6458494189149357
171,Optima Bank AE,Diana Shipping,1.4284991782494147
172,Optima Bank AE,HOWDEN,1.7396598908440606
173,Optima Bank AE,Interamerican,1.7396598908440606
174,Optima Bank AE,IT CAFE,2.244954114302666
175,Optima Bank AE,Mc Donald's,2.6525293418073956
176,Optima Bank AE,National Energy,2.241967113008478
177,Optima Bank AE,Public,1.422401948577397
178,Optima Bank AE,Qualco,1.742115721974807
179,Optima Bank AE,Socialdoo,1.4280034927563965
180,Optima Bank AE,Motodynamics,2.0087038705057334
181,Optima Bank AE,PEPSICO,1.742648881495873
182,Optima Bank AE,ΥΠΕΡΤΑΜΕΙΟ ,1.0131221722041073
183,Optima Bank AE,PWC ,2.021372171931419
184,Optima Bank AE,DELOITTE,2.1538779282463745
185,Optima Bank AE,Johnson & Johnson,2.008335202801816
186,Optima Bank AE,Nespresso,2.2451787875389213
187,Optima Bank AE,STOP,2.455746626129845
188,Optima Bank AE,Everest,3.168627903054371
189,Optima Bank AE,Intersalonica,2.242920304368418
190,Motodynamics,Diana Shipping,2.0252965594354997
191,Motodynamics,HOWDEN,2.245011312475312
192,Motodynamics,Interamerican,2.245011312475312
193,Motodynamics,IT CAFE,1.7435877395232506
194,Motodynamics,Mc Donald's,2.2444406884936834
195,Motodynamics,National Energy,2.245011312475312
196,Motodynamics,Public,1.427658721674345
197,Motodynamics,Qualco,1.7426703646989583
198,Motodynamics,Socialdoo,2.0120196831581443
199,Motodynamics,Optima Bank AE,2.0087038705057334
200,Motodynamics,PEPSICO,1.0472748702712285
201,Motodynamics,ΥΠΕΡΤΑΜΕΙΟ ,1.7435813124549497
202,Motodynamics,PWC ,2.03939540953599
203,Motodynamics,DELOITTE,2.1859829722665403
204,Motodynamics,Johnson & Johnson,2.0110752880716776
205,Motodynamics,Nespresso,2.2451673215764343
206,Motodynamics,STOP,2.010645957875679
207,Motodynamics,Everest,2.3872371691716556
208,Motodynamics,Intersalonica,2.245595058758771
209,PEPSICO,Diana Shipping,1.732077524036078
210,PEPSICO,HOWDEN,2.4749991705225853
211,PEPSICO,Interamerican,2.03116244896549
212,PEPSICO,IT CAFE,2.037799372324434
213,PEPSICO,Mc Donald's,2.0358862097447887
214,PEPSICO,National Energy,2.4749991705225853
215,PEPSICO,Public,1.0576129277534052
216,PEPSICO,Qualco,1.463870315113753
217,PEPSICO,Socialdoo,1.7753876426983088
218,PEPSICO,Optima Bank AE,1.742648881495873
219,PEPSICO,Motodynamics,1.0472748702712285
220,PEPSICO,ΥΠΕΡΤΑΜΕΙΟ ,1.457950923072339
221,PEPSICO,PWC ,1.7350085783258493
222,PEPSICO,DELOITTE,1.8355303340218174
223,PEPSICO,Johnson & Johnson,1.7721139236437526
224,PEPSICO,Nespresso,2.038285243457481
225,PEPSICO,STOP,2.2659995688053405
226,PEPSICO,Everest,2.674692829783735
227,PEPSICO,Intersalonica,2.4768435650694594
228,ΥΠΕΡΤΑΜΕΙΟ ,Diana Shipping,1.7698962860357623
229,ΥΠΕΡΤΑΜΕΙΟ ,HOWDEN,2.0
230,ΥΠΕΡΤΑΜΕΙΟ ,Interamerican,1.4142135623730951
231,ΥΠΕΡΤΑΜΕΙΟ ,IT CAFE,2.4498737128555983
232,ΥΠΕΡΤΑΜΕΙΟ ,Mc Donald's,2.449748134590374
233,ΥΠΕΡΤΑΜΕΙΟ ,National Energy,2.449489742783178
234,ΥΠΕΡΤΑΜΕΙΟ ,Public,1.7320804102779532
235,ΥΠΕΡΤΑΜΕΙΟ ,Qualco,1.4146180217898061
236,ΥΠΕΡΤΑΜΕΙΟ ,Socialdoo,1.7324134058996643
237,ΥΠΕΡΤΑΜΕΙΟ ,Optima Bank AE,1.0131221722041073
238,ΥΠΕΡΤΑΜΕΙΟ ,Motodynamics,1.7435813124549497
239,ΥΠΕΡΤΑΜΕΙΟ ,PEPSICO,1.457950923072339
240,ΥΠΕΡΤΑΜΕΙΟ ,PWC ,1.7909938662658123
241,ΥΠΕΡΤΑΜΕΙΟ ,DELOITTE,1.9812856203742262
242,ΥΠΕΡΤΑΜΕΙΟ ,Johnson & Johnson,1.7321692153697257
243,ΥΠΕΡΤΑΜΕΙΟ ,Nespresso,2.449911646690609
244,ΥΠΕΡΤΑΜΕΙΟ ,STOP,2.6457815916534484
245,ΥΠΕΡΤΑΜΕΙΟ ,Everest,3.000240336471445
246,ΥΠΕΡΤΑΜΕΙΟ ,Intersalonica,2.0000400572819172
247,PWC ,Diana Shipping,1.4171799146301152
248,PWC ,HOWDEN,2.282029585479067
249,PWC ,Interamerican,2.282029585479067
250,PWC ,IT CAFE,2.2895070983871473
251,PWC ,Mc Donald's,2.2873561544664227
252,PWC ,National Energy,2.282029585479067
253,PWC ,Public,2.0490320364729655
254,PWC ,Qualco,1.7971001862652074
255,PWC ,Socialdoo,2.0594217036743916
256,PWC ,Optima Bank AE,2.021372171931419
257,PWC ,Motodynamics,2.03939540953599
258,PWC ,PEPSICO,1.7350085783258493
259,PWC ,ΥΠΕΡΤΑΜΕΙΟ ,1.7909938662658123
260,PWC ,DELOITTE,0.5063291139240507
261,PWC ,Johnson & Johnson,1.492155420870107
262,PWC ,Nespresso,2.290051515525145
263,PWC ,STOP,2.4938636435170904
264,PWC ,Everest,2.871186330379659
265,PWC ,Intersalonica,2.284590963926877
266,DELOITTE,Diana Shipping,1.5354392603290794
267,DELOITTE,HOWDEN,2.4342334952714957
268,DELOITTE,Interamerican,2.4342334952714957
269,DELOITTE,IT CAFE,2.4485849215598074
270,DELOITTE,Mc Donald's,2.444477198714697
271,DELOITTE,National Energy,2.4342334952714957
272,DELOITTE,Public,2.214974311392388
273,DELOITTE,Qualco,1.992605326054059
274,DELOITTE,Socialdoo,2.2349369382803737
275,DELOITTE,Optima Bank AE,2.1538779282463745
